 INFO  Accepting connections at http://localhost:8082
 HTTP  3/10/2025 7:50:33 PM 172.20.0.1 GET /
 HTTP  3/10/2025 7:50:33 PM 172.20.0.1 Returned 200 in 18 ms
 HTTP  3/10/2025 7:50:33 PM 172.20.0.1 GET /_expo/static/css/global-f72a62d2075c8088ba50a67e66d8290e.css
 HTTP  3/10/2025 7:50:33 PM 172.20.0.1 Returned 200 in 2 ms
 HTTP  3/10/2025 7:50:33 PM 172.20.0.1 GET /_expo/static/js/web/index-a499d4475543163afdda1645928bfc09.js
 HTTP  3/10/2025 7:50:33 PM 172.20.0.1 Returned 200 in 3 ms
 HTTP  3/10/2025 7:50:33 PM 172.20.0.1 GET /assets/public/icosahedron.ea5d98412472b7885d87e61ee4b67a63.svg
 HTTP  3/10/2025 7:50:33 PM 172.20.0.1 Returned 200 in 2 ms
 HTTP  3/10/2025 7:56:41 PM 172.20.0.1 GET /
 HTTP  3/10/2025 7:56:41 PM 172.20.0.1 Returned 200 in 3 ms
 HTTP  3/10/2025 7:56:41 PM 172.20.0.1 GET /_expo/static/js/web/index-fbf9daf367ed07bd4f6818dbe920efa2.js
 HTTP  3/10/2025 7:56:41 PM 172.20.0.1 Returned 200 in 10 ms
 HTTP  3/10/2025 7:56:42 PM 172.20.0.1 GET /assets/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.b62641afc9ab487008e996a5c5865e56.ttf
 HTTP  3/10/2025 7:56:42 PM 172.20.0.1 Returned 200 in 7 ms
 HTTP  3/10/2025 7:58:40 PM 172.20.0.1 GET /assets/node_modules/@react-navigation/elements/lib/module/assets/back-icon.35ba0eaec5a4f5ed12ca16fabeae451d.png
 HTTP  3/10/2025 7:58:40 PM 172.20.0.1 Returned 200 in 2 ms
 HTTP  3/10/2025 7:58:49 PM 172.20.0.1 GET /
 HTTP  3/10/2025 7:58:49 PM 172.20.0.1 Returned 200 in 2 ms
 HTTP  3/10/2025 7:58:49 PM 172.20.0.1 GET /_expo/static/js/web/index-fbf9daf367ed07bd4f6818dbe920efa2.js
 HTTP  3/10/2025 7:58:49 PM 172.20.0.1 Returned 200 in 1 ms
 HTTP  3/10/2025 7:58:49 PM 172.20.0.1 GET /assets/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.b62641afc9ab487008e996a5c5865e56.ttf
 HTTP  3/10/2025 7:58:49 PM 172.20.0.1 Returned 200 in 2 ms
 HTTP  3/10/2025 8:00:11 PM 172.20.0.1 GET /
 HTTP  3/10/2025 8:00:11 PM 172.20.0.1 Returned 200 in 1 ms
 HTTP  3/10/2025 8:00:11 PM 172.20.0.1 GET /_expo/static/js/web/index-97829d883bd442179610ab96cf1846b0.js
 HTTP  3/10/2025 8:00:11 PM 172.20.0.1 Returned 200 in 7 ms
 HTTP  3/10/2025 8:00:11 PM 172.20.0.1 GET /assets/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.b62641afc9ab487008e996a5c5865e56.ttf
 HTTP  3/10/2025 8:00:11 PM 172.20.0.1 Returned 200 in 5 ms
 HTTP  3/10/2025 8:03:04 PM 172.20.0.1 GET /assets/node_modules/@react-navigation/elements/lib/module/assets/back-icon.35ba0eaec5a4f5ed12ca16fabeae451d.png
 HTTP  3/10/2025 8:03:04 PM 172.20.0.1 Returned 200 in 1 ms
 HTTP  3/10/2025 8:03:05 PM 172.20.0.1 GET /assets/node_modules/@react-navigation/elements/lib/module/assets/back-icon.35ba0eaec5a4f5ed12ca16fabeae451d.png
 HTTP  3/10/2025 8:03:05 PM 172.20.0.1 Returned 200 in 1 ms
 HTTP  3/10/2025 8:03:06 PM 172.20.0.1 GET /assets/node_modules/@react-navigation/elements/lib/module/assets/back-icon.35ba0eaec5a4f5ed12ca16fabeae451d.png
 HTTP  3/10/2025 8:03:06 PM 172.20.0.1 Returned 200 in 1 ms
 HTTP  3/10/2025 8:03:11 PM 172.20.0.1 GET /assets/node_modules/@react-navigation/elements/lib/module/assets/back-icon.35ba0eaec5a4f5ed12ca16fabeae451d.png
 HTTP  3/10/2025 8:03:11 PM 172.20.0.1 Returned 200 in 1 ms
 HTTP  3/10/2025 8:05:27 PM 172.20.0.1 GET /
 HTTP  3/10/2025 8:05:27 PM 172.20.0.1 Returned 200 in 1 ms
 HTTP  3/10/2025 8:05:27 PM 172.20.0.1 GET /_expo/static/js/web/index-20408d51eb9f36b3a77730492dbb6482.js
 HTTP  3/10/2025 8:05:27 PM 172.20.0.1 Returned 200 in 8 ms
 HTTP  3/10/2025 8:05:27 PM 172.20.0.1 GET /assets/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.b62641afc9ab487008e996a5c5865e56.ttf
 HTTP  3/10/2025 8:05:27 PM 172.20.0.1 Returned 200 in 4 ms
 HTTP  3/10/2025 8:05:32 PM 172.20.0.1 GET /
 HTTP  3/10/2025 8:05:32 PM 172.20.0.1 Returned 200 in 1 ms
 HTTP  3/10/2025 8:05:32 PM 172.20.0.1 GET /_expo/static/js/web/index-20408d51eb9f36b3a77730492dbb6482.js
 HTTP  3/10/2025 8:05:32 PM 172.20.0.1 Returned 200 in 1 ms
 HTTP  3/10/2025 8:05:32 PM 172.20.0.1 GET /assets/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.b62641afc9ab487008e996a5c5865e56.ttf
 HTTP  3/10/2025 8:05:32 PM 172.20.0.1 Returned 200 in 1 ms
 HTTP  3/10/2025 8:05:33 PM 172.20.0.1 GET /assets/node_modules/@react-navigation/elements/lib/module/assets/back-icon.35ba0eaec5a4f5ed12ca16fabeae451d.png
